模型,short_multiplier,long_leverage,short_leverage,累计收益,年化收益,Sharpe,最大回撤,胜率
XGBoost,1.0,2.0,3.0,-0.4314,-0.3581,-0.785,-0.5836,0.4466
XGBoost,1.0,1.0,1.5,-0.2221,-0.1791,-0.785,-0.3398,0.4466
XGBoost,1.0,1.5,2.5,-0.3708,-0.3068,-0.808,-0.5137,0.4466
Logistic,1.5,1.0,2.0,-0.2586,-0.2102,-0.8091,-0.283,0.3754
Logistic,1.5,1.5,3.0,-0.3813,-0.3153,-0.8091,-0.4106,0.3754
XGBoost,2.0,2.0,1.5,-0.1857,-0.1503,-0.8096,-0.2871,0.2783
Logistic,1.0,2.0,2.0,-0.272,-0.2216,-0.8115,-0.3041,0.4304
Logistic,1.0,1.0,1.0,-0.1369,-0.1108,-0.8115,-0.1567,0.4304
Logistic,1.0,2.5,2.5,-0.3372,-0.277,-0.8115,-0.3731,0.4304
Logistic,1.0,1.5,1.5,-0.2051,-0.1662,-0.8115,-0.2319,0.4304
Logistic,1.0,3.0,3.0,-0.3999,-0.3323,-0.8115,-0.4383,0.4304
XGBoost,1.0,1.5,3.0,-0.4482,-0.3832,-0.8425,-0.5879,0.4466
XGBoost,1.0,1.0,2.0,-0.3085,-0.2554,-0.8425,-0.4349,0.4466
Logistic,1.5,1.0,2.5,-0.3301,-0.274,-0.8459,-0.3571,0.3754
XGBoost,2.0,2.5,2.0,-0.2541,-0.2087,-0.8477,-0.3663,0.2783
Ridge,1.0,2.0,1.0,-0.1452,-0.1183,-0.8536,-0.1664,0.3236
Ridge,1.0,3.0,1.5,-0.2166,-0.1775,-0.8536,-0.2447,0.3236
Logistic,1.5,1.0,3.0,-0.3978,-0.3379,-0.8702,-0.4263,0.3754
XGBoost,2.0,3.0,2.5,-0.3198,-0.2672,-0.8706,-0.4381,0.2783
Logistic,1.0,2.5,3.0,-0.4155,-0.3549,-0.8729,-0.4528,0.4304
XGBoost,1.0,1.0,2.5,-0.3894,-0.3318,-0.8769,-0.5187,0.4466
Logistic,1.0,2.0,2.5,-0.3545,-0.2995,-0.8852,-0.3895,0.4304
XGBoost,1.0,1.0,3.0,-0.4645,-0.4082,-0.8996,-0.5922,0.4466
Logistic,1.0,1.5,2.0,-0.2912,-0.2441,-0.9035,-0.3225,0.4304
Logistic,1.0,1.0,1.5,-0.2262,-0.1887,-0.934,-0.2523,0.4304
Logistic,1.0,2.0,3.0,-0.4308,-0.3774,-0.934,-0.4672,0.4304
Logistic,1.0,1.5,2.5,-0.3715,-0.322,-0.9583,-0.4056,0.4304
Ridge,1.0,2.5,1.5,-0.2309,-0.1938,-0.9609,-0.2486,0.3236
XGBoost,2.0,3.0,3.0,-0.4004,-0.3506,-0.9626,-0.5031,0.2783
XGBoost,2.0,1.5,1.5,-0.2097,-0.1753,-0.9626,-0.2871,0.2783
XGBoost,2.0,2.0,2.0,-0.2759,-0.2337,-0.9626,-0.3663,0.2783
XGBoost,2.0,1.0,1.0,-0.1413,-0.1169,-0.9626,-0.2,0.2783
XGBoost,2.0,2.5,2.5,-0.3396,-0.2922,-0.9626,-0.4381,0.2783
Logistic,1.0,1.0,2.0,-0.3101,-0.2667,-0.9946,-0.3406,0.4304
Logistic,1.0,1.5,3.0,-0.4458,-0.4,-0.9946,-0.4812,0.4304
Ridge,1.0,3.0,2.0,-0.3115,-0.2692,-1.0153,-0.3272,0.3236
Ridge,1.0,1.5,1.0,-0.1612,-0.1346,-1.0153,-0.1711,0.3236
Logistic,1.0,1.0,2.5,-0.3883,-0.3446,-1.0306,-0.4214,0.4304
XGBoost,2.0,2.5,3.0,-0.4178,-0.3756,-1.0393,-0.5031,0.2783
Logistic,1.0,1.0,3.0,-0.4606,-0.4225,-1.0544,-0.495,0.4304
XGBoost,2.0,2.0,2.5,-0.3589,-0.3172,-1.0546,-0.4381,0.2783
Ridge,1.0,2.0,1.5,-0.2451,-0.21,-1.0698,-0.2581,0.3236
XGBoost,2.0,1.5,2.0,-0.2973,-0.2588,-1.0776,-0.3663,0.2783
Ridge,1.0,2.5,2.0,-0.3241,-0.2854,-1.0971,-0.3395,0.3236
Ridge,1.0,3.0,2.5,-0.3978,-0.3609,-1.1134,-0.4149,0.3236
XGBoost,2.0,2.0,3.0,-0.4349,-0.4006,-1.1158,-0.5031,0.2783
XGBoost,2.0,1.0,1.5,-0.2331,-0.2003,-1.1158,-0.2871,0.2783
XGBoost,2.0,1.5,2.5,-0.3778,-0.3422,-1.1462,-0.4381,0.2783
Ridge,1.0,1.5,1.5,-0.2593,-0.2263,-1.1782,-0.272,0.3236
Ridge,1.0,1.0,1.0,-0.1772,-0.1508,-1.1782,-0.1867,0.3236
Ridge,1.0,2.0,2.0,-0.3366,-0.3017,-1.1782,-0.3517,0.3236
Ridge,1.0,2.5,2.5,-0.4088,-0.3771,-1.1782,-0.4256,0.3236
Ridge,1.0,3.0,3.0,-0.4759,-0.4525,-1.1782,-0.4936,0.3236
XGBoost,2.0,1.5,3.0,-0.4516,-0.4257,-1.1917,-0.5031,0.2783
XGBoost,2.0,1.0,2.0,-0.3181,-0.2838,-1.1917,-0.3663,0.2783
Ridge,1.0,2.5,3.0,-0.4854,-0.4688,-1.2315,-0.5029,0.3236
XGBoost,2.0,1.0,2.5,-0.3963,-0.3672,-1.2368,-0.4381,0.2783
Ridge,1.0,2.0,2.5,-0.4197,-0.3934,-1.2421,-0.4362,0.3236
Ridge,1.0,1.5,2.0,-0.349,-0.3179,-1.2578,-0.3639,0.3236
XGBoost,2.0,1.0,3.0,-0.4678,-0.4507,-1.2666,-0.5031,0.2783
Ridge,1.0,1.0,1.5,-0.2734,-0.2425,-1.2838,-0.2859,0.3236
Ridge,1.0,2.0,3.0,-0.4949,-0.485,-1.2838,-0.5121,0.3236
Ridge,1.0,1.5,2.5,-0.4306,-0.4096,-1.3044,-0.4468,0.3236
Ridge,1.0,1.0,2.0,-0.3614,-0.3342,-1.3348,-0.376,0.3236
Ridge,1.0,1.5,3.0,-0.5044,-0.5013,-1.3348,-0.5212,0.3236
Ridge,1.0,1.0,2.5,-0.4415,-0.4259,-1.3646,-0.4573,0.3236
Ridge,1.0,1.0,3.0,-0.5139,-0.5175,-1.3841,-0.5303,0.3236
