模型,short_multiplier,long_leverage,short_leverage,累计收益,年化收益,Sharpe,最大回撤,胜率
XGBoost,3.0,1.0,2.0,0.128,0.1044,0.9307,-0.0654,0.0647
XGBoost,3.0,1.5,3.0,0.1914,0.1566,0.9307,-0.0977,0.0647
XGBoost,2.5,1.5,3.0,0.1914,0.1566,0.9307,-0.0977,0.0647
Ridge,2.5,2.5,1.5,0.157,0.1286,0.9211,-0.1039,0.1553
Ridge,2.5,1.5,1.0,0.098,0.0803,0.8883,-0.0693,0.1553
Ridge,2.5,3.0,2.0,0.1937,0.1606,0.8883,-0.1351,0.1553
Ridge,2.5,2.0,1.5,0.1355,0.1123,0.8514,-0.1013,0.1553
XGBoost,2.5,1.0,2.5,0.1424,0.118,0.85,-0.0835,0.0647
XGBoost,3.0,1.0,2.5,0.1424,0.118,0.85,-0.0835,0.0647
Ridge,2.5,2.5,2.0,0.1719,0.1443,0.8314,-0.1325,0.1553
Ridge,2.5,3.0,2.5,0.2069,0.1764,0.8189,-0.163,0.1553
Logistic,2.5,3.0,1.0,0.1427,0.1195,0.8109,-0.1106,0.301
XGBoost,2.5,1.0,3.0,0.156,0.1316,0.7944,-0.1014,0.0647
XGBoost,3.0,1.0,3.0,0.156,0.1316,0.7944,-0.1014,0.0647
Ridge,2.5,3.0,3.0,0.218,0.1921,0.7646,-0.1904,0.1553
Ridge,2.5,2.0,2.0,0.1502,0.1281,0.7646,-0.13,0.1553
Ridge,2.5,1.0,1.0,0.0771,0.064,0.7646,-0.0666,0.1553
Ridge,2.5,1.5,1.5,0.1142,0.0961,0.7646,-0.0987,0.1553
Ridge,2.5,2.5,2.5,0.1849,0.1601,0.7646,-0.1606,0.1553
Ridge,2.5,2.5,3.0,0.1958,0.1759,0.7145,-0.1881,0.1553
Ridge,2.5,2.0,2.5,0.1629,0.1439,0.7039,-0.1582,0.1553
Logistic,3.0,3.0,1.0,0.116,0.0995,0.6998,-0.1063,0.2492
Logistic,2.5,2.5,1.0,0.1131,0.097,0.6964,-0.1106,0.301
Ridge,2.0,3.0,1.0,0.1095,0.0937,0.6944,-0.1008,0.2136
Ridge,2.5,1.5,2.0,0.1286,0.1118,0.6877,-0.1275,0.1553
Ridge,2.5,2.0,3.0,0.1736,0.1596,0.6599,-0.1857,0.1553
Ridge,2.5,1.0,1.5,0.093,0.0798,0.6599,-0.0961,0.1553
Ridge,2.5,1.5,2.5,0.1411,0.1276,0.6368,-0.1557,0.1553
Ridge,2.0,2.5,1.0,0.0892,0.0775,0.619,-0.0963,0.2136
Ridge,2.5,1.5,3.0,0.1516,0.1434,0.601,-0.1834,0.1553
Ridge,2.5,1.0,2.0,0.1071,0.0956,0.601,-0.125,0.1553
Logistic,3.0,2.5,1.0,0.0871,0.077,0.5756,-0.1063,0.2492
Ridge,2.5,1.0,2.5,0.1194,0.1114,0.5638,-0.1533,0.1553
